sentence_id,uid,split_
41320.000.2002.1.1-1444-1,56da3c7a5694c3b2ce097e7e20bb0df6,both
41320.000.2002.1.1-387-1,a235cb9196ff231ea54f33d8feed91bf,both
41320.000.2002.1.1-241-1,b985cd6af46a6fc07f012ef49235f6cc,both
41320.000.2002.1.1-1150-1,63bcbfd7dde27c646a1324d4a34099cd,both
41320.000.2002.1.1-379-1,8433aa90c22b2f249c2c9bffb91874c5,both
41320.000.2002.1.1-1193-1,df865c533ee79ec81f419ab6bc9b3abb,both
41320.000.2002.1.1-636-1,cb42ade35f33a51f8c3529b3742fa426,both
41320.000.2002.1.1-1437-1,954c01768d8ada3d7c839791f26f2391,both
41320.000.2002.1.1-450-1,eb7740482a174871d7bc0f2e5b8a76e7,both
41320.000.2002.1.1-510-1,828849db8fd5ca6ff9b001c749ad6ab9,both
41320.000.2002.1.1-1107-1,dd3abfde023024b4f4ed5a14cfd2379d,both
41320.000.2002.1.1-1359-1,4ac443f2dd4fcb355a3f04154f7a2320,both
41320.000.2002.1.1-317-1,59f9fa33d995a79460989d94154d63e8,both
41320.000.2002.1.1-356-1,2e00311b7b2a35f8d3f007b60b8749cb,both
41320.000.2002.1.1-1110-1,1fd4da1d002354c1e527c74493de6272,both
41320.000.2002.1.1-929-1,55f6f050a68f240f871524987b0e1755,both
41320.000.2002.1.1-1533-1,3d336d4d7c684b8c7755b5f5c4e98014,both
41320.000.2002.1.1-586-1,6b25efc2e72d643f901e0864fbf34355,both
41320.000.2002.1.1-1388-1,39eee39af293cf56a1e61fc48c3012a4,both
41320.000.2002.1.1-1001-1,3f0c10f7bd72e5d13c29c32b62ff9f4e,both
41320.000.2002.1.1-246-1,ff688445b298ea9bc610af90fb8b1e17,both
41320.000.2002.1.1-1198-1,5bfe667a49d87b8be8c261d790e66dab,both
41320.000.2002.1.1-562-1,40b1777e38d3cfc2771e1498fe200077,both
41320.000.2002.1.1-1547-1,a71b4f5a38511c5d5be2b2c6a4801174,both
41320.000.2002.1.1-1188-1,8fb54acb84b57fd75507a3a3cc548194,both
41320.000.2002.1.1-1548-1,bc73b74d2e3f9fb0d6f0ca7ecdb39254,smarie
41320.000.2002.1.1-1283-1,4cfdad1dcf37623303843e9478855a05,sjasmin
41320.000.2002.1.1-998-1,4a058b3fb69e1cccb226f8b1ff5f081d,smarie
41320.000.2002.1.1-563-1,c350f4225a084ff705ad03702b0c3e7f,sjasmin
41320.000.2002.1.1-1235-1,6e6cd521bb20f5b36fe53e95c54f32d1,smarie
41320.000.2002.1.1-1337-1,36e42b9e09b981e7831631cdfb8b48e9,sjasmin
41320.000.2002.1.1-649-1,91f3940208c2f74a216b7881f2490123,smarie
41320.000.2002.1.1-1258-1,7b51bf780e70e98f31b6ec123b53c76b,sjasmin
41320.000.2002.1.1-646-1,2386a3b20dcf140814ac1f4b2712af91,smarie
41320.000.2002.1.1-1274-1,01df807949e741b450713a701d17b60a,sjasmin
41320.000.2002.1.1-1459-1,9f37b7b262c667bfdce928f03dad31e0,smarie
41320.000.2002.1.1-958-1,0b5421b743acac92dff5c7c5f8cbb020,sjasmin
41320.000.2002.1.1-1089-1,c699c3a687b731ae3e3af3d48157d53a,smarie
41320.000.2002.1.1-388-1,f1685bda4cd2a2aebebd2e839aac445a,sjasmin
41320.000.2002.1.1-1570-1,aac2ac51c1dcf0f5b12bb778dd079f7a,smarie
41320.000.2002.1.1-982-1,2efe27259231a1f0c73591d75e9f14c2,sjasmin
41320.000.2002.1.1-213-1,e374fb4398071bd7c40ec7ee9175fea0,smarie
41320.000.2002.1.1-1426-1,8be7fa8c4d9d823fea56c85b30695e9f,sjasmin
41320.000.2002.1.1-997-1,32abaa6113fd1c09623e97e1860fb6fd,smarie
41320.000.2002.1.1-696-1,18676dd10edb80e1f7e5af4e0271f8e9,sjasmin
41320.000.2002.1.1-311-1,c25f6793fe1bfe2d93ea509706f7a7e7,smarie
41320.000.2002.1.1-165-1,bc52bbd250d0104c5c99ee3fc4ff16ba,sjasmin
41320.000.2002.1.1-1569-1,7e48ddacb38ac18fb1ebfd66a256ed69,smarie
41320.000.2002.1.1-1208-1,2cb1470a7038802db3ad03418c99c359,sjasmin
41320.000.2002.1.1-1025-1,b311f36c0515af369850589f87d97cee,smarie
41320.000.2002.1.1-1336-1,5eacb85c9319fc95668ea0761be282a7,sjasmin
41320.000.2002.1.1-233-1,343fddb2098f916602422bbf87f493db,smarie
41320.000.2002.1.1-939-1,5b5f0c7dbecb09c5ab34d687c535635a,sjasmin
41320.000.2002.1.1-231-1,bf295472e7e9accfd544ad67c2b3908c,smarie
41320.000.2002.1.1-497-1,24a2486e2eb1df63ec4bc127420bbd0d,sjasmin
41320.000.2002.1.1-986-1,8c291b5ee751c29af36402f72f269efc,smarie
41320.000.2002.1.1-540-1,15019d5395b8e148d1e2aca74ddfd30f,sjasmin
41320.000.2002.1.1-436-1,23876c1ed9e7d3e720f2cbad3f5bf831,smarie
