sentence_id,uid,split_
conservatives-1964-134-1,3a88ad14b8a5dacc6f5619ddd6bbbbeb,both
conservatives-1964-51-3,787554caa64cf681a62b70b55c4eef3f,both
conservatives-1964-80-2,fca48d040fb66fc59ed3c64e0fbb59a6,both
conservatives-1964-150-3,c688ca9310f174b0721107fcf1037679,both
conservatives-1964-85-2,30b9ffab388d7fd868a42c6d9b1af235,both
conservatives-1964-28-2,57f99a02018c51255fa5b00cac510cd8,both
conservatives-1964-98-4,35eb0aee376abadd2c5c917a21ddb92e,both
conservatives-1964-167-2,b12b30666e7db9657bdbad514a8100cd,both
conservatives-1964-143-2,9b382f1371442783d7eae3315bd7e817,both
conservatives-1964-135-2,b47cc70f1d54d7d12b3853130de5c49e,sjasmin
conservatives-1964-122-1,2d8784ad241ce5fa85ea9f5ce5462cbd,smarie
conservatives-1964-53-1,e5143cf9b9812770dfea32d406d6a3ea,smarie
conservatives-1964-142-1,6f768c5b2d9af904184c16a33f5d2a80,sjasmin
conservatives-1964-89-3,0aaadf2d9c4ad69a7bc72f74a7270139,smarie
conservatives-1964-35-2,f86eea60187d977ff68855d04ce9525a,smarie
conservatives-1964-148-1,d41d791520557b12cc1bd66d0ed93e92,sjasmin
conservatives-1964-23-1,4dc57e59222d238d8ab4605fd5a6d867,sjasmin
conservatives-1964-18-1,e9cdf26377387ed3219bda452df30069,smarie
conservatives-1964-34-1,7122d7f742633ce9c5aad798c8acd2be,smarie
conservatives-1964-51-1,fdab691d9b7c572dcb8a962ea6572faf,smarie
conservatives-1964-55-1,d6c8a21964a9a3e514c61661386a529d,sjasmin
conservatives-1964-121-1,a1b42fd7c0c83669d0d7b5b615b04441,sjasmin
conservatives-1964-54-1,a240e0462cd4a379b48a417b8f82a241,sjasmin
conservatives-1964-164-1,a41cab61b22c9e0f70bb8ace17d728fd,smarie
conservatives-1964-51-4,b159ea4697bd2c26d2f5ab5fddf8e74c,sjasmin
conservatives-1964-35-5,7f65ce909acf99c62ef84f0e56bce444,smarie
conservatives-1964-20-3,525f2cdf1ba2d3822e2688d5c2ebe049,smarie
conservatives-1964-18-4,596863b881a8a82eecf651b40f107226,sjasmin
conservatives-1964-14-2,0e4b5694a8eceb001ca1e4e3c42cbeae,smarie
conservatives-1964-27-1,5606aac5ed4d8ad91242b48bd064c6fe,sjasmin
conservatives-1964-54-2,f379bb66d36e63b307fe4772cf42aea4,smarie
conservatives-1964-122-3,21cad378da62ceebffbe414800a76aa4,sjasmin
conservatives-1964-20-1,e61e267d520ccc88651a919394c45967,smarie
