id,year,party,text,majortopic,majortopic_label,majortopic_recoded_label
1,1983,con,CONSERVATIVE PARTY: 1983,0,Non-policy content,other
2,1983,con,FOREWORD - THE CHALLENGE OF OUR TIMES,0,Non-policy content,other
3,1983,con,"In the last four years, Britain has recovered her confidence and self-respect.",0,Non-policy content,other
4,1983,con,We have regained the regard and admiration of other nations.,19,International Affairs and Foreign Aid,other
5,1983,con,"We are seen today as a people with integrity, resolve and the will to succeed.",0,Non-policy content,other
6,1983,con,This Manifesto describes the achievements of four years of Conservative government,20,Government Operations,other
7,1983,con,and sets out our plans for our second term.,20,Government Operations,other
8,1983,con,The choice before the nation is stark,0,Non-policy content,other
9,1983,con,either to continue our present steadfast progress towards recovery,1,Macroeconomics,Macroeconomics
10,1983,con,or to follow policies more extreme and more damaging than those ever put forward by any previous Opposition.,1,Macroeconomics,Macroeconomics
11,1983,con,We face three challenges:,0,Non-policy content,other
12,1983,con,the defence of our country,16,Defence,other
13,1983,con,the employment of our people,5,Labour and Employment,Labour and Employment
14,1983,con,and the prosperity of our economy.,1,Macroeconomics,Macroeconomics
15,1983,con,How to defend Britain's traditional liberties,2,"Civil Rights, Minority Issues, Immigration and Civil Liberties","Civil Rights, Minority Issues, Immigration and Civil Liberties"
16,1983,con,and distinctive way of life,0,Non-policy content,other
17,1983,con,is the most vital decision that faces the people at this election.,20,Government Operations,other
18,1983,con,We have enjoyed peace and security for thirty-eight years,16,Defence,other
19,1983,con,peace with freedom and justice,16,Defence,other
20,1983,con,We dare not put that security at risk.,16,Defence,other
21,1983,con,Every thinking man and woman wants to get rid of nuclear weapons.,16,Defence,other
22,1983,con,To do that we must negotiate patiently from a position of strength,16,Defence,other
23,1983,con,not abandon ours in advance.,16,Defence,other
24,1983,con,"The universal problem of our time, and the most intractable, is unemployment.",1,Macroeconomics,Macroeconomics
25,1983,con,The answer is not bogus social contracts,5,Labour and Employment,Labour and Employment
26,1983,con,and government overspending,1,Macroeconomics,Macroeconomics
27,1983,con,"Both, in the end, destroy jobs",1,Macroeconomics,Macroeconomics
28,1983,con,The only way to a lasting reduction in unemployment,1,Macroeconomics,Macroeconomics
29,1983,con,is to make the right products at the right prices,1,Macroeconomics,Macroeconomics
30,1983,con,supported by good services,1,Macroeconomics,Macroeconomics
31,1983,con,The Government's role is to keep inflation down,1,Macroeconomics,Macroeconomics
32,1983,con,and offer real incentives for enterprise.,15,"Banking, Finance and Domestic Commerce",other
33,1983,con,As we win back customers,15,"Banking, Finance and Domestic Commerce",other
