var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43
employee*,employer*,self-employed,unemployed,scientists,farmers, teachers,soldiers,* on low income,middle income earners,the rich,apprentices,pupil*,student*,black british,irish speakers,BME,pakistani,families,married couples,children*,* parent*,* year old*,middle-aged people,old people,men,women,gay*,persons with disabilities,*migrant*,asylum seeker*,catholics,jewish people,non-believers,hindus,muslims,homeowners,homeless pepole,country dwellers,city dwellers,offender*,crime victims,addicts
worker*,bosses,NA,those without a job,physicians, primary producers, nurses,policemen,poor people,middle class,high earners,trainees,NA,undergraduates,africans,welsh language audiences,BAME,bangledeshi,families with children,widows,kids,mothers,young people,NA,older people,NA,NA,trans,handicapped,non-citizens,refugee*,protestants,jews,NA,NA,muslim people,property owners,the homeless,rural residents,ubranites,criminals,victims of crime*,bike commuters
NA,business owners,NA,the jobless,GP, carpenters, aircrew*,Garda*,the poor*,average earners,aristocrats,interns,NA,poorer students,carribeans,irish citizens,NA,bengali,family,singles,child,fathers,youths,NA,pensioners,NA,NA,lesbian*,chronically ill,illegal aliens,refugee children,anglicans,NA,NA,NA,NA,houseowners,people living on the street*,those who live in rural areas,urban residents,yob*,victims of violence,consumers
NA,business people,NA,jobseekers,GPs, plumbers, carers,constables,those on the poverty line,* on modest income*,the 1%,NA,NA,NA,NA,Irish Language Community,NA,indian,low-income families,single people,children at risk,parents,adolescent*,NA,senior citizens,NA,NA,queer,disabled people,foreigners,NA,evangelicals,NA,NA,NA,NA,home owners,unhoused people,rural population,city residents,prisoner*,victims of abuse,patients
NA,NA,NA,people without employment,GP's, blacksmiths, clinical staff,veterans,benefit recipients,NA,high income earners,NA,NA,NA,NA,Irish Citizens who live abroad,NA,chinese,one-parent families,childless couples,pre school children,lone parents,young adults,NA,elderly,NA,NA,intersex,mentally ill,*migrant workers,NA,NA,NA,NA,NA,NA,houseowners,NA,rural inhabitans,NA,drug traffickers and barons,victims of rape,drug misusers
NA,NA,NA,long-term unemployed,managers, toolmakers, tellers,bobbies,the lowest paid,NA,the wealthy,NA,NA,NA,NA,Irish people,NA,traveller community,NA,spouses,children of working families,NA,*year-old*,NA,retired people,NA,NA,asexual,disabled persons,foreign born,NA,NA,NA,NA,NA,NA,home buyers,NA,residents of rural areas,NA,foreign criminals,victims of violent crime*,gamblers
NA,NA,NA,unemployed person,civil servants, welders, travel attendants,military personnel,chavs,NA,upper class,NA,NA,NA,NA,Welsh children,NA,travellers,NA,unmarried persons,NA,NA,* year-old*,NA,retirees,NA,NA,transexual*,chronically sick,people under resettlement,NA,NA,NA,NA,NA,NA,home purchasers,NA,people living and working in rural areas,NA,foreign national offenders,victims,politicians
NA,NA,NA,NA,psychologists, smelters, conductors,members of the armed forces,working class,NA,milionaires,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under-*,NA,people nearing retirement age,NA,NA,transgender,people with disabilities,irish emigrant,NA,NA,NA,NA,NA,NA,landlords,NA,rural communities,NA,people smugglers,NA,prisoners
NA,NA,NA,NA,psychiatrists, painters, pilots,law enforcement officials,lower class,NA,bilionaires,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,over-*,NA,NA,NA,NA,transvestite*,invalids,settles migrants,NA,NA,NA,NA,NA,NA,landowners,NA,commuters,NA,sex offenders,NA,those from the most disadvantaged backgrounds
NA,NA,NA,NA,doctors, electricians, maids,police officers,low income earners,NA,super-rich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bisexual,spastic*,NA,NA,NA,NA,NA,NA,NA,tenants,NA,rural and coastal communities,NA,terrorist offenders,NA,NA
