id,year1,year2,month,sourname,objdim,objid,oidclean
1,1964,"1964",10,1,,"(widows) with children","widows with children"
2,1964,"1964",10,1,"Geography","towns","towns"
3,1964,"1964",10,1,"Other","customers'","customers'"
4,1964,"1964",10,1,,"the individual","the individual"
5,1964,"1964",10,1,"Economic class","investors","investors"
6,1964,"1964",10,1,"Age/generation","all who enter secondary school after the summer of 1967","all who enter secondary school after the summer of 1967"
7,1964,"1964",10,1,"Economic class","those who work in industry","those who work in industry"
8,1964,"1964",10,1,,"(retired members) of the armed forces and other government servants","retired members of the armed forces and other government servants"
9,1964,"1964",10,1,"Geography","Scotland","scotland"
10,1964,"1964",10,1,"Geography","over the whole country","over the whole country"
11,1964,"1964",10,1,"Geography","(out-dated) residential areas","out-dated residential areas"
12,1964,"1964",10,1,"Geography","secluded areas","secluded areas"
13,1964,"1964",10,1,,"Britain","britain"
14,1964,"1964",10,1,"Geography","older areas","older areas"
15,1964,"1964",10,1,,"the nation's","the nation's"
16,1964,"1964",10,1,"Other","householders","householders"
17,1964,"1964",10,1,,"home nurses","home nurses"
18,1964,"1964",10,1,,"individuals","individuals"
19,1964,"1964",10,1,"Geography","throughout Great Britain","throughout great britain"
20,1964,"1964",10,1,,"individual","individual"
21,1964,"1964",10,1,"Health","those who can no longer manage on their own [health]","those who can no longer manage on their own health"
22,1964,"1964",10,1,"Economic class","tenants","tenants"
23,1964,"1964",10,1,,"a modern Britain","a modern britain"
24,1964,"1964",10,1,"Nationality","(more than 50,000 students) from developing countries","more than 50,000 students from developing countries"
25,1964,"1964",10,1,"Gender","every (man,) woman (and child) in the country","every man, woman and child in the country"
26,1964,"1964",10,1,"Gender","women","women"
27,1964,"1964",10,1,"Geography","throughout the United Kingdom","throughout the united kingdom"
28,1964,"1964",10,1,"Health","(workers) who fall ill","workers who fall ill"
29,1964,"1964",10,1,"Economic class","those who undertake to save regularly","those who undertake to save regularly"
30,1964,"1964",10,1,"Geography","the whole country","the whole country"
31,1964,"1964",10,1,"Gender","every boy (and girl up to at least 18)","every boy and girl up to at least 18"
32,1964,"1964",10,1,"Economic class","people changing jobs","people changing jobs"
33,1964,"1964",10,1,"Geography","the many new towns","the many new towns"
34,1964,"1964",10,1,"Geography","each nation","each nation"
35,1964,"1964",10,1,"Age/generation","the older (pensioners)","the older pensioners"
36,1964,"1964",10,1,"Economic class","those (householders) living on small fixed incomes","those householders living on small fixed incomes"
37,1964,"1964",10,1,"Economic class","industrial workers (under 18)","industrial workers under 18"
38,1964,"1964",10,1,"Other","one family in every four","one family in every four"
39,1964,"1964",10,1,,"teachers","teachers"
40,1964,"1964",10,1,"Economic class","companies","companies"
41,1964,"1964",10,1,"Geography","each region","each region"
42,1964,"1964",10,1,"Geography","most of England","most of england"
43,1964,"1964",10,1,"Geography","London","london"
44,1964,"1964",10,1,"Economic class","out-dated (residential areas)","out-dated residential areas"
45,1964,"1964",10,1,"Geography","northeast England","northeast england"
46,1964,"1964",10,1,"Other","passengers","passengers"
