sentence_id,uid,split_
41113.000.2013.1.1-3357-1,48cb953cba339738bc726ff0d04b2219,both
41113.000.2013.1.1-4733-1,2c5f39949d2b5a2d7af196a6c7a7f85a,both
41113.000.2013.1.1-625-1,d53e1ec11bbea7f8d88ab867d9474e08,both
41113.000.2013.1.1-5132-1,f3f16da2830512106809c387158aa5dc,both
41113.000.2013.1.1-329-1,7c06c96faff3f5f98a0176b06b48fd81,both
41113.000.2013.1.1-3647-1,6cd3fc798f4e2955590877b752eef55c,both
41113.000.2013.1.1-1190-1,6212c9a1d7bee0f037075bdd536c6624,both
41113.000.2013.1.1-4638-1,834d67ae5c340aaa2dbc418392f510c0,both
41113.000.2013.1.1-1395-1,45efee24648358afa5b682180e854c8e,both
41113.000.2013.1.1-3040-1,f50e852c66ab9d119d836fea1dc1ec7c,both
41113.000.2013.1.1-1665-1,546c654eb4365de29ff812dd114bfece,both
41113.000.2013.1.1-3498-1,f51f78f111c6f520c0442e8b73bd7100,both
41113.000.2013.1.1-1358-1,7b4e8ee8a08b93493883860039f53f1d,both
41113.000.2013.1.1-3969-1,05017a11720952d9691ee254f5d416e9,both
41113.000.2013.1.1-4683-1,24c229c6059a5520179c16a8f6746901,both
41113.000.2013.1.1-3103-1,ee0c6758c453a8ac9b1978b5dac0e415,both
41113.000.2013.1.1-3690-1,89ce1d6024041f101e12c551474dcfcd,both
41113.000.2013.1.1-3023-1,017d10715bc77ecea54bb33d89073e31,both
41113.000.2013.1.1-5159-1,618ee308b36b4b225fcc51209da81de8,both
41113.000.2013.1.1-2919-1,9783a03bb8d9a4daa804a22c8ec3b926,both
41113.000.2013.1.1-651-1,8efee2b971d4a6ca0a89ba4183f70381,both
41113.000.2013.1.1-2911-1,d0ae2d11a209f2519cbf38f2d3ad83ed,both
41113.000.2013.1.1-3752-1,c2baf8ec4a6b65fde4190b27f2019245,both
41113.000.2013.1.1-4926-1,ca52208cd3944c3b88abb21b145d211d,both
41113.000.2013.1.1-1083-1,3aa995ed4c50be4141b6816f86e1bba2,both
41113.000.2013.1.1-2303-1,3517d3be3298d60e9c8819a73be68cb8,smarie
41113.000.2013.1.1-2796-1,d285c567f1f74bbbdd8ef07cdef8127e,sjasmin
41113.000.2013.1.1-1594-1,3b998df0e97c6ceb4c355916f3cfb2be,smarie
41113.000.2013.1.1-2516-1,166dcde311ea55a3a80798c25601c8ff,sjasmin
41113.000.2013.1.1-2458-1,517db9d9d2a1bfcb7640ecd9584c4b38,smarie
41113.000.2013.1.1-1166-1,f760928799d4314b398e51b27dc46a60,sjasmin
41113.000.2013.1.1-1124-1,14f8dba61564bea20d9bbf2a282be7b8,smarie
41113.000.2013.1.1-3058-1,8842e9b4a2c9a6881c4f792a2b885b1f,sjasmin
41113.000.2013.1.1-4502-1,3ec5fbfdd0c88696b8f21652aa13a8dc,smarie
41113.000.2013.1.1-4181-1,5a5a22054d25ab7c6bd90c0a0a1b655f,sjasmin
41113.000.2013.1.1-4189-1,7e401fc872dfe57b4201fa5a3bb5ad87,smarie
41113.000.2013.1.1-2802-1,288d064e4676c6788f6fd1f058b1f300,sjasmin
41113.000.2013.1.1-1284-1,a3adbd3f86ec71c58da08a6489d498af,smarie
41113.000.2013.1.1-1952-1,858997cb781a756b9dae0960a8992307,sjasmin
41113.000.2013.1.1-3999-1,5dbf1acad31df07cd3db6c57c59cf86f,smarie
41113.000.2013.1.1-2794-1,6683ec08f646a22c9b5a825830ed6c7a,sjasmin
41113.000.2013.1.1-1323-1,779cefa0349461c40a016d3fdd241a61,smarie
41113.000.2013.1.1-2913-1,537193f9f840937a38d2305edd95db41,sjasmin
41113.000.2013.1.1-2889-1,c9092c68c782784f6579f79ec807ef92,smarie
41113.000.2013.1.1-170-1,4ec17243000a5d8f9f51c296e5255ab9,sjasmin
41113.000.2013.1.1-871-1,ecb378f17420de7abdb1e1b7baa731ff,smarie
41113.000.2013.1.1-2115-1,4d9c4af7987a28fda7142fd30aa54067,sjasmin
41113.000.2013.1.1-2375-1,b0a3fb8576e40a2861be074a7fab2280,smarie
41113.000.2013.1.1-4160-1,105647f1805fd427e92a1d7c83adb79e,sjasmin
41113.000.2013.1.1-1915-1,8f406a90e4c912fd26bf1d122771a21e,smarie
41113.000.2013.1.1-1146-1,53584b959cffce77f47cd0930a679b8e,sjasmin
41113.000.2013.1.1-609-1,b1487150c8b9327df3391b591c9f6413,smarie
41113.000.2013.1.1-2576-1,0cf3712b30ec88a5c63cfd74a21b7284,sjasmin
41113.000.2013.1.1-854-1,39510527fcce04a568861ae6d5151833,smarie
41113.000.2013.1.1-3908-1,81c0e7a70d6cea0bcfdd84c4c7b6ef60,sjasmin
41113.000.2013.1.1-2499-1,04902805f99dec81006b250a8d13ef1d,smarie
41113.000.2013.1.1-1979-1,4016b3187f7e0c044b2a3b1187178fea,sjasmin
41113.000.2013.1.1-3324-1,aef0d048d3b73e8d79cde9927c03e515,smarie
41113.000.2013.1.1-1064-1,37e1f89d54b5508a0c77775114539d8a,sjasmin
41113.000.2013.1.1-7-1,b2c42a8ee042ffc4874e54e19be6ac3f,smarie
41113.000.2013.1.1-108-1,6ab56554ba607fc77858e85d4ad257e8,sjasmin
41113.000.2013.1.1-3977-1,9662fe700a808878c6e6be9cc6560575,smarie
41113.000.2013.1.1-3961-1,311f8969b1589f1d4865ef7ff2c8666e,sjasmin
41113.000.2013.1.1-2785-1,e17a5bb85ae0ccc48612cb9f2ae59132,smarie
41113.000.2013.1.1-4272-1,ddd874b35d189df52091782fb3465855,sjasmin
41113.000.2013.1.1-1596-1,a7cf0ce522400fcc9f37126e3ace1e72,smarie
41113.000.2013.1.1-2099-1,9adce554bdff51d925269fedec4e0131,sjasmin
41113.000.2013.1.1-23-1,5838e8280a19ce172875c2a0f71fb4f1,smarie
41113.000.2013.1.1-2501-1,a83642be5d521795e70d055f2199f3d7,sjasmin
41113.000.2013.1.1-836-1,b6236c607de76e33974df9428067c4b6,smarie
41113.000.2013.1.1-1488-1,2f0b484ca444586734244312e55282e4,sjasmin
41113.000.2013.1.1-3049-1,9350d8e5898d2915fdee0ad271bc3a76,smarie
41113.000.2013.1.1-2403-1,7f9c042874edf8fe55f316abfdf692af,sjasmin
41113.000.2013.1.1-3723-1,94c69af87498a7eb46f9d3b79a5e43f6,smarie
41113.000.2013.1.1-4568-1,e3e48070b345540ff44ccdd57c0a1670,sjasmin
41113.000.2013.1.1-2821-1,17c6afaa33092526c578e2fb33b902f2,smarie
41113.000.2013.1.1-2925-1,1422abe6dd32ac6ea3e13fb023fc94bc,sjasmin
41113.000.2013.1.1-479-1,245ef991ad41aad7ee54713d052394af,smarie
41113.000.2013.1.1-4976-1,730854958c50a75996ac8332a274b3b3,sjasmin
41113.000.2013.1.1-2783-1,d9efc8fef640da14351a3c8ebb850553,smarie
41113.000.2013.1.1-2109-1,d0d6ec123780e9f0dbd911d983e1cd9d,sjasmin
41113.000.2013.1.1-4043-1,2bf24689e4ad19ad6d2e3cbaff92c1a3,smarie
41113.000.2013.1.1-3734-1,cee3d8964c18fffd0f405bf94969fb59,sjasmin
