date,agend_item_nr,party,speaker,speech_nr,sent_nr,sentence_id,uid,split_
2013-09-05,8,Con,Julian Smith,12877,1,012877-01,6b68f2331884306a280da1e6d3901918,both
2013-11-19,7,Con,David Cameron,16852,5,016852-05,62fcd4f74d4e0a149fa853c7a7ecbfbd,both
2013-07-11,24,Con,Sarah Wollaston,11750,15,011750-15,2c3c92a11120b5c9b6cae7401ffd7310,both
2013-05-20,10,Con,Iain Duncan Smith,7875,1,007875-01,cb82316fb7b0f32f49c478c0d0ea03b5,both
2013-06-25,1,Con,George Osborne,10041,3,010041-03,a4ef2b1b4d48e92838cc0dbf89a60414,both
2013-12-19,11,Con,Geoffrey Clifton-Brown,19432,1,019432-01,f8e6cbe055ab474a99fd11fafc17ef01,both
2013-01-21,5,Con,Edward Timpson,1255,1,001255-01,51f625eff6110625eef3094a27f06cb7,both
2013-11-04,5,Con,Mark Francois,15735,2,015735-02,3cabacb97a45c3971ede4c4387b5e109,both
2013-07-09,9,Con,Oliver Heald,11403,2,011403-02,19891685c92805597d58be5ce3a81d79,both
2013-04-22,7,Con,Michael Gove,6818,3,006818-03,e887968854d9ea79c36e939c62cacd83,both
2013-01-14,7,Con,Julian Lewis,653,2,000653-02,5f9a6db1e7a78922dbf4f2fe47d2ad7f,both
2013-12-12,4,Con,Helen Grant,18726,2,018726-02,85091be517056bc03557d5d7f5ad18ef,both
2013-01-14,6,Con,Mark Francois,640,3,000640-03,2d9cf42af2b79ee9a0ddaba10742cc13,both
2013-07-09,7,Con,David Cameron,11349,2,011349-02,23912e5951fd0828d75e529dc3dec814,both
2013-04-15,13,Con,Mark Francois,6424,2,006424-02,b8633b0860db678b8b71939868503a47,both
2013-11-11,11,Con,Michael Gove,16393,1,016393-01,58bbd39caa4a992435cdde0352ece8e4,smarie
2013-07-09,7,Con,David Cameron,11371,2,011371-02,888d30bc65d36018fbcd5dda7464163c,sjasmin
2013-11-19,7,Con,Simon Burns,16871,1,016871-01,e9f98ac38980688add5234d25b832a25,smarie
2013-12-16,10,Con,Dominic Raab,18916,2,018916-02,f7c808b94369bae2d900792590f7605c,sjasmin
2013-05-21,3,Con,Helen Grant,7970,2,007970-02,ced25c98cdc33969bc968bf6f368c7c8,smarie
2013-10-22,10,Con,Nick De Bois,14746,3,014746-03,ed8c350ca2c5ad2b9d9b8ebfcc0399a8,sjasmin
2013-06-13,13,Con,David Mowat,9243,1,009243-01,3c5baddae90bfd5dfeb9f8a206d71c8a,smarie
2013-10-23,7,Con,David Cameron,14894,2,014894-02,6103bfec867ddcc074d64164fceb27b8,sjasmin
2013-10-08,1,Con,Chris Grayling,13534,3,013534-03,b0a0aa75030d47fcb94f44fdba4bb2ae,smarie
2013-09-11,7,Con,David Cameron,13342,1,013342-01,1a95044c6c963481d6d9017eb6af08bd,sjasmin
2013-07-09,7,Con,David Cameron,11345,2,011345-02,10d23c78f171738076670f42515d8099,smarie
2013-11-18,12,Con,Stephen McPartland,16715,2,016715-02,4c6a09921f6829be464ba0ee301a6cf2,sjasmin
2013-12-16,10,Con,Mark Francois,18917,5,018917-05,ba32b9a7c4b7644c82841a0b448b687c,smarie
2013-07-09,5,Con,David Cameron,11331,3,011331-03,50393cb79b4b4bcfb8bf066c860ae039,sjasmin
2013-07-15,10,Con,Mark Harper,11882,2,011882-02,7f59261919b826fc34c4ed40a3bba7f7,smarie
2013-01-21,5,Con,Edward Timpson,1261,2,001261-02,0282e6db6ee2782542990911fc2901bc,sjasmin
2013-01-08,8,Con,Oliver Heald,252,1,000252-01,1b912606d696228254c57fe2cfd064a9,smarie
2013-11-19,7,Con,David Cameron,16854,2,016854-02,7dbfa957e6d6c35358c1857cd4ae8597,sjasmin
2013-09-02,9,Con,Mark Francois,12462,4,012462-04,253cac4c9bbeb92bb5a2a6753a857d33,smarie
2013-09-02,8,Con,Philip Hammond,12456,1,012456-01,921ce4c2666e8cbb72883f1c86b6ed15,sjasmin
2013-01-14,12,Con,Mark Francois,719,2,000719-02,a76de832cd977947d1ccd8c575768bd2,smarie
2013-09-10,9,Con,Greg Clark,13217,2,013217-02,9d1fba72e25ab299e45cceab9025ba02,sjasmin
2013-02-06,9,Con,Francis Maude,2748,2,002748-02,13b50941ad955d43ad20a5cf4e1f3210,smarie
2013-02-04,2,Con,Mark Prisk,2392,1,002392-01,701cf5d2d187676af01e009ce178bea9,sjasmin
2013-01-07,1,Con,Theresa May,4,3,000004-03,5248b47536679a4b4c9d536b4ed47fac,smarie
2013-01-07,16,Con,Theresa May,123,4,000123-04,b81dc3c15ffbfcad2fdeb6ab775183ff,sjasmin
2013-01-21,7,Con,Michael Gove,1280,1,001280-01,c82d963b0e9ebd61f62e54a616381f04,smarie
2013-01-30,8,Con,David Cameron,2227,5,002227-05,4a5a1b61d253c8307d7f0bb05d403199,sjasmin
2013-10-08,3,Con,Chris Grayling,13556,4,013556-04,e689793b6d2a6f269fe56a1ed498752f,smarie
2013-01-29,8,Con,George Freeman,2002,1,002002-01,0e88ac11fb8156249083dd8e3a16adea,sjasmin
2013-10-16,2,DUP,Nigel Dodds,14258,1,014258-01,fb00e815d8f9592fcb97c28514b84677,both
2013-10-16,1,DUP,Gregory Campbell,14249,1,014249-01,a770cda1dc9ed3c2907ad49401f0b427,both
2013-07-10,3,DUP,Sammy Wilson,11488,1,011488-01,8b58a41f5ed315cff27af94c259ae1c3,both
2013-09-03,13,DUP,Ian Paisley,12654,1,012654-01,27731a226e6c5d3d77a7934d0fd55ff7,both
2013-07-10,6,DUP,William McCrea,11508,2,011508-02,215e375dd7a54446ec10d6c4cd6dfc80,both
2013-06-26,8,DUP,Gregory Campbell,10285,2,010285-02,e6f63abbf36a26fc64393759af06083a,both
2013-07-16,14,DUP,Jim Shannon,12043,2,012043-02,328622817b833ba1671435438d7a3ba0,both
2013-07-18,8,DUP,Jim Shannon,12299,3,012299-03,bf4f73c1a7950dfeabf5fe65f619cc14,both
2013-02-26,6,DUP,Jim Shannon,3831,2,003831-02,1a8b5ec8df55156612381a5d44e48cc3,both
2013-10-15,9,DUP,Jim Shannon,14241,1,014241-01,ff366688630605d9814e48e99394af8a,both
2013-05-14,7,DUP,Jim Shannon,7419,1,007419-01,1575a72fc2d96141b0105fa17e6ea3de,both
2013-07-18,8,DUP,Jim Shannon,12299,2,012299-02,381165b81e08bd30aabc97e1fc98e6e4,both
2013-06-05,4,DUP,Gregory Campbell,8461,1,008461-01,d4fb675417012377d5da8056d62332b8,both
2013-06-05,1,DUP,Jeffrey M Donaldson,8431,2,008431-02,4f03b7e88ee456a52a2f4c4132c9e9d4,both
2013-09-03,13,DUP,Ian Paisley,12654,2,012654-02,cc164afd4d16498f831e602666b5812f,both
2013-02-13,9,DUP,William McCrea,3334,3,003334-03,126a2bbf0f96f7df189f0f19d67bb518,smarie
2013-12-10,10,DUP,Sammy Wilson,18495,2,018495-02,edeaf50176295683136bd22e795bdb41,sjasmin
2013-01-09,8,DUP,Nigel Dodds,421,1,000421-01,df117065639015b229e2b5e41b907794,smarie
2013-03-05,10,DUP,William McCrea,4503,1,004503-01,dba06560ed6717d1927d7963bbd46d30,sjasmin
2013-07-10,2,DUP,David Simpson,11478,1,011478-01,e2fd67f975fb37a8fcc9712a1ff9e7c7,smarie
2013-01-07,14,DUP,William McCrea,114,1,000114-01,6f621cc705be2c7c0abde39811af9fee,sjasmin
2013-09-12,12,DUP,Jim Shannon,13509,2,013509-02,8df55f19ce64ae402b273f9f62c99726,smarie
2013-02-28,7,DUP,Jim Shannon,4131,3,004131-03,2f577cb3d2af9f285423280537038944,sjasmin
2013-06-11,16,DUP,Jim Shannon,8988,1,008988-01,0573e6f4417223921360c0fce4523a76,smarie
2013-10-22,7,DUP,Jim Shannon,14732,2,014732-02,13a423e09d0b64993b88f373c6f02421,sjasmin
2013-11-27,7,DUP,Gregory Campbell,17631,3,017631-03,52928b9ed302121b1e02f5b5d83e957b,smarie
2013-01-09,6,DUP,Ian Paisley,356,4,000356-04,3492bdf2bddbc95c712295476aac154c,sjasmin
2013-03-06,6,DUP,Sammy Wilson,4565,1,004565-01,427caf78ad10ccc528b0004dab72cf92,smarie
2013-03-12,4,DUP,William McCrea,4953,2,004953-02,bf5f3e258acaae3538886dc39e0f9c02,sjasmin
2013-04-23,8,DUP,Jim Shannon,6972,2,006972-02,eda0c278914142a526eb7ce81d847603,smarie
2013-02-06,7,DUP,Gregory Campbell,2735,1,002735-01,2d2c3895c34ebe76cfe6328e15894b5d,sjasmin
2013-05-21,5,DUP,Gregory Campbell,8002,2,008002-02,71f807b77e4d6424db1221153ae26300,smarie
2013-06-25,6,DUP,Gregory Campbell,10109,1,010109-01,95a935c22ec5b1277104a4dc9d9ea493,sjasmin
2013-01-23,5,DUP,Jim Shannon,1527,4,001527-04,eb2c7d107498216f5a02711fcace394e,smarie
2013-01-09,6,DUP,Ian Paisley,356,1,000356-01,4f64f005dc5a1b329228d8ea94876876,sjasmin
2013-02-06,10,DUP,Jeffrey M Donaldson,2793,2,002793-02,d19584b46bddb4c30876fec3eef067f3,smarie
2013-03-13,5,DUP,William McCrea,5122,1,005122-01,e4f65ec7ea0e90a906e1712b660410d8,sjasmin
2013-01-23,4,DUP,Gregory Campbell,1517,3,001517-03,8ae9ee7701a0979c8d83cddedfbbaff8,smarie
2013-01-23,3,DUP,William McCrea,1513,1,001513-01,82a59d118a0af6011eb69260cfcc6358,sjasmin
2013-05-16,11,DUP,Jim Shannon,7736,1,007736-01,3970acf15003e9163c60cf7ad3999072,smarie
2013-02-14,1,DUP,Jim Shannon,3405,2,003405-02,e57604c62a811321aa0372d033f289cc,sjasmin
2013-02-12,4,DUP,William McCrea,3148,1,003148-01,ba910bec4ebe125db4c75289af57d50b,smarie
2013-05-20,3,DUP,Ian Paisley,7823,2,007823-02,f9bd583de525decf3ce22ec03e06669a,sjasmin
2013-01-15,1,DUP,Jim Shannon,778,1,000778-01,3b7c567a0ccfdb0580d7871dbeaeeca2,smarie
2013-02-28,7,DUP,Jim Shannon,4131,2,004131-02,437241ff79e1b30f918796e0ed9f3647,sjasmin
2013-12-03,6,Lab,Steve McCabe,18003,2,018003-02,1dca372fd3e6c0c325f3d229f11392e6,both
2013-12-05,16,Lab,Jonathan Reynolds,18360,1,018360-01,5bb13ede01f96d836630e2c12abe1622,both
2013-12-02,12,Lab,Diana Johnson,17912,1,017912-01,11e71bf1d50cf37713e841309b6c8868,both
2013-11-12,10,Lab,Jenny Chapman,16547,4,016547-04,bd2c0f32b653dd8b74e05812fcb8076c,both
2013-12-17,2,Lab,Nicholas Dakin,19002,2,019002-02,7f9890b4bb17c0f129b89dbd5ff8420c,both
2013-02-12,9,Lab,Seema Malhotra,3222,1,003222-01,5a27cdbb8efc66a63d88cbab8df95343,both
2013-09-03,4,Lab,Keith Vaz,12570,1,012570-01,37f04374e174e9c337fb69f7e6966b0c,both
2013-09-04,7,Lab,Gareth R Thomas,12730,1,012730-01,9884755c4d1bdd176ebd9e58afcd0c63,both
2013-02-05,17,Lab,Chris Ruane,2684,2,002684-02,81cadaac3b6bf86d7b0f2a668c5e8d91,both
2013-10-08,5,Lab,Nick Smith,13565,1,013565-01,3b91769a46c4fc358b971648e6bdd49e,both
2013-11-21,12,Lab,Nick Smith,17197,1,017197-01,7f4cb1e501ae1723f8f293ba996b6521,both
2013-04-18,15,Lab,Anne Begg,6738,3,006738-03,e06f2aee7a5f3d55b635b3379b7e69f8,both
2013-11-27,7,Lab,Alex Cunningham,17611,2,017611-02,e5917abe4dc8206abc4fa7ac00af56cc,both
2013-07-16,1,Lab,Cathy Jamieson,11953,2,011953-02,0d7a697fd739fc674362a35ea19483b3,both
2013-07-17,9,Lab,Ed Miliband,12176,2,012176-02,eeccb691aa0bbfde33a5f16623e9adc9,both
2013-05-21,15,Lab,Debbie Abrahams,8114,3,008114-03,0ac623b74f8c4531ff160187f41c69d9,smarie
2013-01-16,6,Lab,Owen Smith,963,4,000963-04,986dfe0565e4cfcf3057f63dabe9e988,sjasmin
2013-12-03,7,Lab,Wayne David,18019,1,018019-01,42c21c43672ac6814c6502b771897bf0,smarie
2013-06-27,13,Lab,Frank Doran,10452,2,010452-02,4ce34d4bee60b4737824e0e893c3d2c5,sjasmin
2013-05-16,2,Lab,Mary Creagh,7668,3,007668-03,c74df8807a4a0df8b29b7b52f0d4cce9,smarie
2013-09-09,13,Lab,Sharon Hodgson,13062,4,013062-04,f3d40f612cb2f03cbfd83e431348a368,sjasmin
2013-07-04,7,Lab,John Spellar,11040,1,011040-01,55d031d8b9513c61d3b0d43b295092bf,smarie
2013-04-22,4,Lab,Barry Sheerman,6779,3,006779-03,da7f3abfce5b047109899ff113781ccc,sjasmin
2013-03-20,3,Lab,Anas Sarwar,5705,2,005705-02,625211bc6aeb2d42678d9a65ea977e90,smarie
2013-02-12,7,Lab,Anas Sarwar,3210,2,003210-02,8679975e9b08874efa900e769e47abfd,sjasmin
2013-09-05,3,Lab,Helen Goodman,12823,4,012823-04,36c832d7fed74ac472eda8791e9ec98d,smarie
2013-02-26,9,Lab,Nick Raynsford,3858,4,003858-04,caac67030f8b49f623fdd1662403bc06,sjasmin
2013-06-24,7,Lab,Lisa Nandy,9927,1,009927-01,00a35786eab50bca2ff6bf407d86a3e9,smarie
2013-11-19,4,Lab,Cathy Jamieson,16801,1,016801-01,0b3cd46870b9f9e1a20471cfff68c8aa,sjasmin
2013-06-24,9,Lab,Valerie Vaz,9946,2,009946-02,83a36a754e31ad264dc4d22585818e1c,smarie
2013-07-03,11,Lab,Nick Brown,10935,3,010935-03,df6098c421073d2e230aa4e079835c23,sjasmin
2013-07-04,2,Lab,John Mann,10986,2,010986-02,5171d4346cc30212ec5eb376e782ec78,smarie
2013-11-12,5,Lab,Andrew Slaughter,16510,4,016510-04,ae4b04f3605d0b6a85f3e39c6950051b,sjasmin
2013-07-01,8,Lab,Nicholas Dakin,10548,1,010548-01,0212c0941bb8377aec61c2a050a0bad2,smarie
2013-11-11,10,Lab,Rushanara Ali,16386,2,016386-02,faedfef93187fed889aff63b81c827db,sjasmin
2013-11-04,1,Lab,Ann McKechin,15701,2,015701-02,a139cfb5e99fde2029ee853954e1f04d,smarie
2013-11-04,7,Lab,Gisela Stuart,15757,2,015757-02,144163fa0dd09cad7d1998541552c4a0,sjasmin
2013-04-18,3,Lab,Andy Sawford,6621,1,006621-01,4953672ef615de7e04f4cc267ca11d3f,smarie
2013-12-10,11,Lab,Ann McKechin,18499,1,018499-01,8e8c98cb7e0c586c6020e40e82d8c1a7,sjasmin
2013-11-25,8,Lab,David Lammy,17308,1,017308-01,9cfcf6acfaf9817a85bf76c86527a932,smarie
2013-10-31,16,Lab,Luciana Berger,15679,2,015679-02,69519393e7da013f3fdec6d1f4bfcdc2,sjasmin
2013-11-05,3,Lab,Keith Vaz,15878,2,015878-02,3c673a8737bc0595e43aa3ce7759c404,smarie
2013-01-07,16,Lab,Yvette Cooper,126,4,000126-04,aa41b0a5cbb29bab664bc05bd0be4608,sjasmin
2013-06-13,16,Lab,Luciana Berger,9280,2,009280-02,8a9fa9b0c616a75d17cb0ebd60e491d8,smarie
2013-02-14,26,Lab,Ann Coffey,3564,6,003564-06,a8afb0316d2304b7276cb8e00d52ef61,sjasmin
2013-01-09,8,LibDem,Michael Crockart,395,2,000395-02,6a16bbf2a15fdaa75306fa7c62dee369,both
2013-12-05,5,LibDem,Jo Swinson,18284,3,018284-03,45e717ad58125c6e7b5ae1865888bb8d,both
2013-12-05,12,LibDem,Jo Swinson,18335,1,018335-01,d7acc470cada451b0f6066958dac31a8,both
2013-03-18,11,LibDem,Greg Mulholland,5467,3,005467-03,e1deac49130eacf291fe65e678186bfa,both
2013-10-17,13,LibDem,Edward Davey,14475,5,014475-05,70f83bf910be739e9cadf42400247ee2,both
2013-03-13,2,LibDem,Lynne Featherstone,5092,2,005092-02,1801e8f8f1058bf1e21be953613344ae,both
2013-09-11,1,LibDem,Michael Moore,13271,2,013271-02,22e1129c6b48a8e56e7f5c22ccce86ef,both
2013-01-24,8,LibDem,David Heath,1689,2,001689-02,69e7a66344c4f95e242bb75c5d1e3d33,both
2013-11-28,3,LibDem,Edward Davey,17693,1,017693-01,bc18aff4f77dde94a85203a5838dd33e,both
2013-11-26,15,LibDem,Norman Lamb,17514,1,017514-01,6581d55dc1ee373d89435888af91a2c1,both
2013-09-11,6,LibDem,Michael Moore,13326,3,013326-03,109e5ec8e19fe69093c126a95e471d1b,both
2013-07-17,3,LibDem,Lynne Featherstone,12120,2,012120-02,d4485a5360103e9a0653a52212137067,both
2013-03-11,15,LibDem,Steve Webb,4914,4,004914-04,cb94f699a7a26bf6a3c56e786b440712,both
2013-01-30,8,LibDem,Tim Farron,2206,1,002206-01,53017f5d2b5429defca84763d3bd584f,both
2013-01-07,7,LibDem,Jeremy Browne,58,3,000058-03,d30c8b0e9679a1df04aec0bec4d49ed9,both
2013-06-13,2,LibDem,Vincent Cable,9157,1,009157-01,15ff5da1dcde384c5c673c6b7faf278b,smarie
2013-07-11,8,LibDem,Edward Davey,11684,4,011684-04,877fae41f997a1a40fbe4aededae00d8,sjasmin
2013-01-09,7,LibDem,Michael Moore,362,1,000362-01,aedcb6a2653d50242bd82e86725ce064,smarie
2013-07-11,14,LibDem,Edward Davey,11717,1,011717-01,391c64b65db3b1bdc02dc99f3a6b560e,sjasmin
