id,year1,month,sourname,claimsta,claimpar,objid,objtype,objdim,subtype,subparty,subpres,reltype,reldirec,vers
1,1964,10,1,1,"Conservative Party","(widows) with children","Other",,1,"Conservative Party",1,"Indirect","Positive/associate",1
2,1964,10,1,1,"Conservative Party","towns","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
3,1964,10,1,1,"Conservative Party","customers'","Social group","Other",1,"Conservative Party",1,"Direct","Positive/associate",1
4,1964,10,1,1,"Conservative Party","the individual","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
5,1964,10,1,1,"Conservative Party","investors","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
6,1964,10,1,1,"Conservative Party","all who enter secondary school after the summer of 1967","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Positive/associate",1
7,1964,10,1,1,"Conservative Party","those who work in industry","Social group","Economic class",1,"Conservative Party",2,"Direct","Positive/associate",1
8,1964,10,1,1,"Conservative Party","(retired members) of the armed forces and other government servants","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
9,1964,10,1,1,"Conservative Party","Scotland","Social group","Geography",1,"Conservative Party",1,"Direct","Positive/associate",1
10,1964,10,1,1,"Conservative Party","over the whole country","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
11,1964,10,1,1,"Conservative Party","(out-dated) residential areas","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
12,1964,10,1,1,"Conservative Party","secluded areas","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
13,1964,10,1,1,"Conservative Party","Britain","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
14,1964,10,1,1,"Conservative Party","older areas","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
15,1964,10,1,1,"Conservative Party","the nation's","General public",,1,"Conservative Party",2,"Direct","Indiscernible",1
16,1964,10,1,1,"Conservative Party","householders","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
17,1964,10,1,1,"Conservative Party","home nurses","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
18,1964,10,1,1,"Conservative Party","individuals","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
19,1964,10,1,1,"Conservative Party","throughout Great Britain","Social group","Geography",1,"Conservative Party",1,"Direct","Positive/associate",1
20,1964,10,1,1,"Conservative Party","individual","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
21,1964,10,1,1,"Conservative Party","those who can no longer manage on their own [health]","Social group","Health",1,"Conservative Party",1,"Indirect","Positive/associate",1
22,1964,10,1,1,"Conservative Party","tenants","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
23,1964,10,1,1,"Conservative Party","a modern Britain","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
24,1964,10,1,1,"Conservative Party","(more than 50,000 students) from developing countries","Social group","Nationality",1,"Conservative Party",1,"Indirect","Positive/associate",1
25,1964,10,1,1,"Conservative Party","every (man,) woman (and child) in the country","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
26,1964,10,1,1,"Conservative Party","women","Social group","Gender",2,"Conservative Party",1,"Direct","Positive/associate",1
27,1964,10,1,1,"Conservative Party","throughout the United Kingdom","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
28,1964,10,1,1,"Conservative Party","(workers) who fall ill","Social group","Health",1,"Conservative Party",1,"Indirect","Positive/associate",1
29,1964,10,1,1,"Conservative Party","those who undertake to save regularly","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
30,1964,10,1,1,"Conservative Party","the whole country","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
31,1964,10,1,1,"Conservative Party","every boy (and girl up to at least 18)","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
32,1964,10,1,1,"Conservative Party","people changing jobs","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
