sentence_id	span_nr	text	cat	pred_type	recall	recall_micro	thau_category	completely_wrong
conservatives-1964-135-2	0	widows with children	10	SG	1.0	1.0	none	False
conservatives-1964-65-1	0	customers '	9	SG	0.5	0.5	Other	False
conservatives-1964-189-1	0	the individual	10	ISG	0.0	1.0	none	True
conservatives-1964-121-1	0	all who enter secondary school after the summer of 1967	1	SG	1.0	1.0	Age/generation	False
conservatives-1964-68-2	0	those who work in industry	2	SG	1.0	1.0	Economic class	False
conservatives-1964-143-2	0	retired members of the armed forces and other government servants	10	SG	0.9	0.9	none	False
conservatives-1964-75-3	0	scotland	5		0.0	0.0	Geography	True
conservatives-1964-75-3	1	most of england	5		0.0	0.0	Geography	True
conservatives-1964-76-1	0	scotland	5		0.0	0.0	Geography	True
conservatives-1964-202-1	0	scotland	5		0.0	0.0	Geography	True
conservatives-1964-202-1	1	wales	5		0.0	0.0	Geography	True
conservatives-1964-77-4	0	the south	5		0.0	0.0	Geography	True
conservatives-1964-77-4	1	over the whole country	5		0.0	0.75	Geography	True
conservatives-1964-150-3	0	out-dated residential areas	2		0.0	0.0	Economic class	True
conservatives-1964-187-3	0	secluded areas	5		0.0	0.0	Geography	True
conservatives-1964-152-2	0	older areas	5		0.0	0.0	Geography	True
conservatives-1964-152-2	1	landlords	2	SG	1.0	1.0	Economic class	False
conservatives-1964-169-1	0	the nation's	10	ISG	0.0	0.5	none	True
conservatives-1964-172-1	0	the nation's	10	ISG	0.0	0.5	none	True
conservatives-1964-172-1	1	a person	10		0.0	0.5	none	True
conservatives-1964-115-1	0	householders	9	SG	1.0	1.0	Other	False
conservatives-1964-116-2	0	those householders living on small fixed incomes	9		0.8571428571428571	0.8571428571428571	Other	False
conservatives-1964-171-3	0	old people living at home	1	SG	1.0	1.0	Age/generation	False
conservatives-1964-171-3	1	health visitors	10	SG	1.0	1.0	none	False
conservatives-1964-171-3	2	home nurses	10	SG	1.0	1.0	none	False
conservatives-1964-171-3	3	home helps	10	SG	1.0	1.0	none	False
conservatives-1964-171-3	4	social workers	10	SG	1.0	1.0	none	False
conservatives-1964-171-3	5	those who can no longer manage on their own	6	SG	1.0	1.0	Health	False
conservatives-1964-114-1	0	companies	2	ORG	0.0	1.0	Economic class	True
conservatives-1964-114-1	1	individuals	10	ISG	0.0	1.0	none	True
conservatives-1964-202-3	0	throughout great britain	5		0.6666666666666666	0.6666666666666666	Geography	False
conservatives-1964-137-1	0	individual	10		0.0	0.0	none	True
conservatives-1964-190-2	0	individual	10		0.0	0.0	none	True
conservatives-1964-170-1	0	every man, woman and child in the country	4	SG	1.0	1.0	Gender	False
conservatives-1964-74-1	0	throughout the united kingdom	5		0.25	0.25	Geography	False
conservatives-1964-71-4	0	workers who fall ill	6	SG	1.0	1.0	Health	False
conservatives-1964-111-2	0	those who undertake to save regularly	2	SG	1.0	1.0	Economic class	False
conservatives-1964-154-3	0	built-up areas	5		0.0	0.0	Geography	True
conservatives-1964-154-3	1	the whole country	5	ISG	0.0	1.0	Geography	True
conservatives-1964-120-1	0	every boy and girl up to at least 18	4	SG	1.0	1.0	Gender	False
