run_id	n_train	n_val	n_test
rep01-fold01	6244	1522	810
rep01-fold02	6195	1571	810
rep01-fold03	6196	1570	810
rep01-fold04	6210	1556	810
rep01-fold05	6219	1547	810
rep02-fold01	6178	1522	876
rep02-fold02	6129	1571	876
rep02-fold03	6129	1571	876
rep02-fold04	6144	1556	876
rep02-fold05	6220	1480	876
rep03-fold01	6245	1522	809
rep03-fold02	6196	1571	809
rep03-fold03	6197	1570	809
rep03-fold04	6211	1556	809
rep03-fold05	6219	1548	809
rep04-fold01	6108	1572	896
rep04-fold02	6123	1557	896
rep04-fold03	6158	1522	896
rep04-fold04	6132	1548	896
rep04-fold05	6199	1481	896
rep05-fold01	6125	1572	879
rep05-fold02	6123	1574	879
rep05-fold03	6175	1522	879
rep05-fold04	6149	1548	879
rep05-fold05	6216	1481	879
