sentence_nr	span_nr	text	type	recall
0	0	The Labour Government	PG	1.0
3	0	British Aerospace	ORG	1.0
3	1	Cable & Wireless	ORG	1.0
3	2	Amersham International	ORG	1.0
3	3	Associated British Ports	ORG	1.0
5	0	The new Queen Elizabeth Hospital	ORG	0.6
6	0	unions	ORG	1.0
6	1	employers	SG	1.0
8	0	European Community	PI	1.0
9	0	homosexuals	SG	1.0
10	0	Migrants	SG	1.0
10	1	the NHS	ORG	1.0
11	0	all our citizens	SG	0.6666666666666666
12	0	Rail workers	SG	1.0
12	1	the trade unions	ORG	1.0
12	2	others	ISG	1.0
17	0	young people	SG	1.0
17	1	students	SG	1.0
17	2	people with disabilities	SG	1.0
17	3	older people	SG	1.0
19	0	full-time and part-time students	SG	1.0
20	0	Conservative	PG	1.0
21	0	Labour Government	PG	1.0
21	1	people	ISG	1.0
21	2	industry	ORG	1.0
22	0	employers	SG	1.0
22	1	schools	ORG	1.0
22	2	colleges	ORG	1.0
23	0	the trade unions and employers'associations	ORG	0.8571428571428571
24	0	parents	SG	1.0
24	1	children	SG	1.0
24	2	grandparents	SG	1.0
24	3	other family members	SG	1.0
24	4	strong communities	ISG	1.0
25	0	The National Lottery	ORG	1.0
26	0	Teachers	SG	1.0
27	0	chief constables who develop local schemes to crack down on petty crime and improve public order	SG	1.0
28	0	children living in poverty	SG	1.0
31	0	tenants	SG	1.0
32	0	five, six and seven-year-olds	SG	1.0
33	0	government	PI	1.0
34	0	immigrants who have arrived lawfully	SG	1.0
36	0	taxpayers	SG	1.0
37	0	government	PI	1.0
37	1	high quality public services	ORG	0.5
38	0	the auditing industry	ORG	1.0
38	1	a few players riddled with conflicts of interest	SG	0.75
39	0	UKIP	PG	1.0
39	1	a Royal Commission	PI	0.6666666666666666
39	2	the NHS	ORG	1.0
40	0	Labour	PG	1.0
41	0	the TUC	ORG	1.0
43	0	nation	ISG	0.0
43	1	those who threaten it with unnecessary and dangerous change	SG	1.0
44	0	union of nations	PI	0.0
46	0	smaller businesses-and larger ones	ORG	0.75
47	0	women	SG	1.0
47	1	girls	SG	1.0
50	0	society	ISG	1.0
51	0	the Commonwealth	PI	1.0
51	1	the United Nations	PI	1.0
52	0	university	ORG	1.0
52	1	able young people from all backgrounds	SG	1.0
53	0	Britain's people	SG	1.0
53	1	the women of our country	SG	1.0
55	0	new city-region authorities	PI	0.6666666666666666
55	1	residents	SG	1.0
55	2	a Mayor, with London-style powers	PI	0.16666666666666666
56	0	people	ISG	1.0
58	0	community	ISG	1.0
58	1	social services	ORG	1.0
59	0	industry	ORG	1.0
60	0	children's hospices	SG	0.25
61	0	BBC	ORG	1.0
62	0	Conservative government	PG	1.0
64	0	Employers	SG	1.0
65	0	Air Passenger	SG	0.0
67	0	local authorities	PI	1.0
67	1	adult	SG	1.0
70	0	Parliament	PI	1.0
70	1	MPs	PG	0.0
71	0	government	PI	1.0
72	0	young people	SG	1.0
72	1	voluntary overseas service	ORG	1.0
74	0	Labour Government	PG	1.0
74	1	elected assemblies in Scotland and Wales	PI	0.0
75	0	people entering the welfare system	SG	1.0
75	1	the Benefits Agency and Employment Service	ORG	0.8333333333333334
76	0	a Government	PI	0.5
76	1	whose central economic policy is to increase tax and regulation by stealth	SG	0.0
77	0	frontline pilots	SG	1.0
80	0	government departments	PI	1.0
80	1	public services	ORG	1.0
81	0	people of Britain	SG	1.0
82	0	independent prosecution service	PI	0.3333333333333333
83	0	schools	ORG	1.0
84	0	Parliament	PI	0.0
84	1	local government	PI	1.0
86	0	British customers	SG	1.0
86	1	Britain's farmers	SG	1.0
88	0	government	PI	1.0
89	0	Labour	PG	1.0
90	0	customs services	ORG	0.0
93	0	carers who qualify for the Carer ’ s Allowance	SG	1.0
95	0	diverse society	ISG	1.0
96	0	freeholder	SG	1.0
96	1	auditor	SG	0.0
97	0	local authority	PI	0.0
97	1	councils	PI	1.0
98	0	the European Defence agency	PI	1.0
101	0	selective schools	ORG	1.0
101	1	pupils	SG	1.0
104	0	overseas companies	ORG	1.0
104	1	local people	SG	1.0
105	0	the European Community	PI	1.0
107	0	councils	PI	1.0
108	0	the next Parliament	PI	0.0
110	0	Labour	PG	1.0
110	1	fundholding doctors	SG	1.0
111	0	the SNP	PG	1.0
111	1	the UK government	PI	1.0
111	2	EU citizens applying for settled status	SG	0.6666666666666666
113	0	Labour	PG	1.0
115	0	Conservative government	PG	1.0
116	0	people	ISG	1.0
117	0	The new regional authorities	PI	1.0
118	0	The National Security Council	PI	1.0
118	1	government	PI	1.0
119	0	everyone	ISG	1.0
120	0	war widows	SG	1.0
120	1	those disabled in the service of their country	SG	1.0
121	0	victims	SG	1.0
121	1	survivors	SG	1.0
121	2	veterans	SG	1.0
123	0	the UK government	PI	1.0
123	1	providers	ORG	1.0
123	2	all parties	PG	1.0
126	0	organisations	ORG	1.0
126	1	staff	SG	1.0
126	2	patients	SG	1.0
126	3	innovative social enterprises delivering community and mental health services	ORG	0.8888888888888888
127	0	schools	ORG	1.0
