run_id	n_train	n_val	n_test
rep01-step01	1000	795	810
rep01-step02	2000	795	810
rep01-step03	3000	795	810
rep01-step04	4000	795	810
rep01-step05	5000	795	810
rep01-step06	6000	795	810
rep02-step01	1000	795	876
rep02-step02	2000	795	876
rep02-step03	3000	795	876
rep02-step04	4000	795	876
rep02-step05	5000	795	876
rep02-step06	6000	795	876
rep03-step01	1000	795	809
rep03-step02	2000	795	809
rep03-step03	3000	795	809
rep03-step04	4000	795	809
rep03-step05	5000	795	809
rep03-step06	6000	795	809
rep04-step01	1000	797	896
rep04-step02	2000	797	896
rep04-step03	3000	797	896
rep04-step04	4000	797	896
rep04-step05	5000	797	896
rep04-step06	6000	797	896
rep05-step01	1000	797	879
rep05-step02	2000	797	879
rep05-step03	3000	797	879
rep05-step04	4000	797	879
rep05-step05	5000	797	879
rep05-step06	6000	797	879
